code,generated,reference
"fn handle_accept_error(e: impl Into<crate::Error>) -> ControlFlow<crate::Error> {
    let e = e.into();
    tracing::debug!(error = %e, ""accept loop error"");
    if let Some(e) = e.downcast_ref::<io::Error>() {
        if matches!(
            e.kind(),
            io::ErrorKind::ConnectionAborted
                | io::ErrorKind::Interrupted
                | io::ErrorKind::InvalidData // Raised if TLS handshake failed
                | io::ErrorKind::WouldBlock
        ) {
            return ControlFlow::Continue(());
        }
    }

    ControlFlow::Break(e)
}","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function handles various types of errors in the accept loop, including ConnectionAborted, Interrupted, InvalidData, and WouldBlock. The described vulnerability is related to a denial of service when the number of connections exceeds the limit, which is not handled in this function. The function's control flow is properly managed and does not contribute to the described vulnerability.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function properly handles various types of I/O errors, including those that could be triggered remotely (like ConnectionAborted, Interrupted, etc.), and continues the accept loop where appropriate. The function does not exhibit the described DoS vulnerability as it correctly manages error conditions without causing the server to exit cleanly on such errors. The implementation matches the fixed behavior in versions 0.12.3 and above.
"
"pub fn secret_string(&self) -> String {
        self.secret.to_string()
    }","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function simply converts a secret to a string and does not involve any interaction with HTTP headers or special characters that could lead to a panic or denial of service. The vulnerability described in the context is unrelated to this function's implementation.","[label]
This function is vulnerable.

[detail]
The vulnerability involves unintentional disclosure of sensitive information. The function directly converts and returns the secret as a String, which could lead to the secret being exposed in memory or logs. This is a security risk as sensitive data should be handled more carefully, typically through secure memory management or encryption.
"
"fn call(&mut self, req: Self::Request) -> Self::Future {
        self.get_mut().call(req)
    }","[label]
This function is vulnerable.

[detail]
The vulnerability arises from the potential to obtain multiple mutable references to the same data. The function calls `get_mut()` to get a mutable reference to the inner service, and then calls `call(req)` on that mutable reference. This could lead to multiple mutable references coexisting, violating Rust's borrowing rules and potentially causing use-after-free or other memory safety issues.","[label]
This function is vulnerable.

[detail]
The vulnerability arises from the potential to obtain multiple mutable references to the same data through `get_mut()`. This violates Rust's borrowing rules and can lead to use-after-free scenarios if the data is modified or dropped while still being referenced elsewhere. The function does not ensure exclusive mutable access, which could result in undefined behavior.
"
"pub fn uncles(&self) -> UncleBlockVec {
        let slice = self.as_slice();
        let start = molecule::unpack_number(&slice[8..]) as usize;
        let end = molecule::unpack_number(&slice[12..]) as usize;
        UncleBlockVec::new_unchecked(self.0.slice(start..end))
    }","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function performs safe operations to extract and manipulate slices of data, and there is no evidence of unsafe pointer dereferencing or unaligned memory access. The operations are well-defined and do not lead to undefined behavior or buffer overreads.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function performs safe operations with proper bounds checking and does not involve any unsafe pointer dereferencing or unaligned memory access. The operations are well-defined and do not lead to undefined behavior or potential buffer overreads. The function adheres to Rust's safety guarantees.
"
"fn write_ignition(
    mountpoint: &Path,
    digest_in: &Option<IgnitionHash>,
    mut config_in: &File,
) -> Result<()> {
    eprintln!(""Writing Ignition config"");

    // Verify configuration digest, if any.
    if let Some(ref digest) = digest_in {
        digest
            .validate(&mut config_in)
            .context(""failed to validate Ignition configuration digest"")?;
        config_in
            .seek(SeekFrom::Start(0))
            .context(""rewinding Ignition configuration file"")?;
    };

    // make parent directory
    let mut config_dest = mountpoint.to_path_buf();
    config_dest.push(""ignition"");
    if !config_dest.is_dir() {
        create_dir_all(&config_dest).with_context(|| {
            format!(
                ""creating Ignition config directory {}"",
                config_dest.display()
            )
        })?;
        // Ignition data may contain secrets; restrict to root
        set_permissions(&config_dest, Permissions::from_mode(0o700)).with_context(|| {
            format!(
                ""setting file mode for Ignition directory {}"",
                config_dest.display()
            )
        })?;
    }

    // do the copy
    config_dest.push(""config.ign"");
    let mut config_out = OpenOptions::new()
        .write(true)
        .create_new(true)
        .open(&config_dest)
        .with_context(|| {
            format!(
                ""opening destination Ignition config {}"",
                config_dest.display()
            )
        })?;
    // Ignition config may contain secrets; restrict to root
    set_permissions(&config_dest, Permissions::from_mode(0o600)).with_context(|| {
        format!(
            ""setting file mode for destination Ignition config {}"",
            config_dest.display()
        )
    })?;
    copy(&mut config_in, &mut config_out).context(""writing Ignition config"")?;

    Ok(())
}","[label]
This function is vulnerable.

[detail]
The vulnerability arises from the file being created with default permissions (world-readable) before being changed to 0600. This can expose sensitive Ignition config data to unauthorized users. The fix ensures the file is created with the correct permissions from the start.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function `write_ignition` handles file operations and permissions securely, and there is no evidence of GPG signature verification or decompression-related vulnerabilities in this code. The described vulnerability pertains to GPG signature verification during decompression, which is not present in this function.
"
"fn from(mut timestamp: Timestamp) -> std::time::SystemTime {
        timestamp.normalize();
        let system_time = if timestamp.seconds >= 0 {
            std::time::UNIX_EPOCH + time::Duration::from_secs(timestamp.seconds as u64)
        } else {
            std::time::UNIX_EPOCH - time::Duration::from_secs((-timestamp.seconds) as u64)
        };

        system_time + time::Duration::from_nanos(timestamp.nanos as u64)
    }","[label]
This function is vulnerable.

[detail]
The vulnerability involves potential truncation or overflow during timestamp conversion. The function converts a Timestamp to a SystemTime without proper bounds checking, which could lead to misinterpretation of the input data. Specifically, the operations with `as u64` could overflow if the input values are too large, causing the timestamp to be incorrectly interpreted. This could be exploited in a denial-of-service attack.","[label]
This function is vulnerable.

[detail]
The vulnerability is related to potential integer overflow when converting a Timestamp to SystemTime. The function performs arithmetic operations on timestamp.seconds and timestamp.nanos without proper bounds checking, which could lead to overflow if the input values are too large. This could cause a panic or undefined behavior. The recommended fix is to use TryFrom<Timestamp> instead of From<Timestamp> to handle potential overflow cases gracefully.
"
"pub(super) fn new(
        inner: Body,
        control: BodyLimitControl,
        permit: OwnedSemaphorePermit,
    ) -> Self {
        Self {
            inner,
            control,
            permit: permit.into(),
        }
    }","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function simply constructs a new instance with the provided parameters, and there is no evidence of memory mismanagement or denial-of-service vulnerabilities in this code. The function does not handle request bodies directly, nor does it accumulate them into memory, which are the key factors in the described vulnerability.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function is a simple constructor that initializes a struct with provided parameters, and there is no evidence of memory mismanagement or denial-of-service vulnerabilities in this code. The function does not handle request bodies or perform any operations that could lead to excessive memory consumption or OOM termination.
"
"fn set_req_uri(req: &mut Request<Body>, scheme: Scheme) -> Result<()> {
    const DEFAULT_HOST: &str = ""localhost"";

    let authority_hdr = req
        .headers()
        .get(http::header::HOST)
        .map(|h| h.to_str().context(""Expected UTF8 header value (authority)""))
        .unwrap_or(Ok(DEFAULT_HOST))?;
    let uri = req.uri().clone();
    let mut parts = uri.into_parts();
    parts.authority = authority_hdr
        .parse()
        .map(Option::Some)
        .map_err(|e| anyhow::anyhow!(""Invalid authority {:?}"", e))?;
    parts.scheme = Some(scheme);
    *req.uri_mut() = Uri::from_parts(parts).unwrap();
    Ok(())
}","[label]
This function is vulnerable.

[detail]
The vulnerability arises from using `unwrap()` on the result of `Uri::from_parts`, which can fail if the input parts are invalid. This leads to a panic, causing the server to crash. The function should handle the `Result` appropriately by returning an error if the URI conversion fails. The current implementation makes it possible to request malicious URIs that can cause a denial of service.","[label]
This function is vulnerable.

[detail]
The vulnerability arises from using the `Host` header from the incoming request to set the authority part of the URI for outgoing requests. This can lead to a sandbox escape if an attacker manipulates the `Host` header, causing the application to make requests to arbitrary hosts. The function does not validate or sanitize the `Host` header, allowing potential misuse when the application is configured to allow outbound requests to `self`. This can be exploited to bypass network restrictions and make unauthorized requests.
"
"pub fn do_db_read<A: BackendApi + 'static, S: Storage + 'static, Q: Querier + 'static>(
    mut env: FunctionEnvMut<Environment<A, S, Q>>,
    key_ptr: u32,
) -> VmResult<u32> {
    let (data, mut store) = env.data_and_store_mut();

    let key = read_region(&data.memory(&store), key_ptr, MAX_LENGTH_DB_KEY)?;

    let (result, gas_info) = data.with_storage_from_context::<_, _>(|store| Ok(store.get(&key)))?;
    process_gas_info(data, &mut store, gas_info)?;
    let value = result?;

    let out_data = match value {
        Some(data) => data,
        None => return Ok(0),
    };
    write_to_contract(data, &mut store, &out_data)
}","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function performs database operations with proper gas tracking and error handling, and there is no evidence of any operations that could be exploited to slow down block production. The function follows secure practices for storage access and gas management, making it resilient against the described attack vector.","[label]
This function is vulnerable.

[detail]
The vulnerability allows a malicious smart contract to slow down block production by exploiting the database read operation. The function reads a key from the contract's memory without proper bounds checking or gas metering, which could be abused to perform expensive operations and delay block processing. The lack of strict validation on the key_ptr and memory access could lead to resource exhaustion attacks.
"
"pub unsafe fn guarded_transmute_to_bytes_vec<T>(mut from: Vec<T>) -> Vec<u8> {
    let capacity = from.capacity() * size_of::<T>();
    let len = from.len() * size_of::<T>();
    let ptr = from.as_mut_ptr();
    forget(from);
    Vec::from_raw_parts(ptr as *mut u8, capacity, len)
}","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. While the function performs unsafe operations, it correctly calculates the capacity and length for the new Vec<u8> and properly uses Vec::from_raw_parts() with the correct argument order. The function also ensures the original Vec<T> is forgotten to prevent double-free issues, making the operation safe when used correctly.","[label]
This function is vulnerable.

[detail]
The vulnerability arises from incorrect argument ordering in Vec::from_raw_parts(). The function passes 'capacity' as the length and 'len' as the capacity, which could lead to heap corruption or data leakage. This mismatch may cause the vector to access memory beyond its intended bounds or misinterpret the allocated memory layout.
"
"fn poll(mut self: Pin<&mut Self>, cx: &mut Context<'_>) -> Poll<Self::Output> {
        let mut this = self.as_mut().project();

        match this.state.as_mut().project() {
            StateProj::A(fut) => match fut.poll(cx)? {
                Poll::Pending => Poll::Pending,
                Poll::Ready(srv) => {
                    this.state.set(State::B(srv));
                    self.poll(cx)
                }
            },
            StateProj::B(srv) => match srv.poll_ready(cx)? {
                Poll::Ready(_) => {
                    let fut = (this.store.get_mut().1)(this.cfg.take().unwrap(), srv);
                    this.state.set(State::C(fut));
                    self.poll(cx)
                }
                Poll::Pending => Poll::Pending,
            },
            StateProj::C(fut) => fut.poll(cx),
        }
    }","[label]
This function is vulnerable.

[detail]
The vulnerability arises from the potential to obtain multiple mutable references to the same data. The code calls `get_mut()` on `this.store` and then also attempts to take ownership of `this.cfg`. These operations could conflict if not handled carefully, leading to use-after-free or data races. The issue stems from improper handling of mutable references in the state machine.","[label]
This function is vulnerable.

[detail]
The vulnerability arises from potentially obtaining multiple mutable references to the same data through `get_mut()`. This violates Rust's borrowing rules and can lead to use-after-free scenarios or data races. The function allows creating a new future (`fut`) while still holding mutable references to `this.store` and `srv`, which could result in undefined behavior if these references are used concurrently.
"
"fn main() {
  // Build up a serialized buffer algorithmically.
  // Initialize it with a capacity of 1024 bytes.
  let mut builder = flatbuffers::FlatBufferBuilder::with_capacity(1024);

  // Serialize some weapons for the Monster: A 'sword' and an 'axe'.
  let weapon_one_name = builder.create_string(""Sword"");
  let weapon_two_name = builder.create_string(""Axe"");

  // Use the `Weapon::create` shortcut to create Weapons with named field
  // arguments.
  let sword = Weapon::create(&mut builder, &WeaponArgs{
      name: Some(weapon_one_name),
      damage: 3,
  });
  let axe = Weapon::create(&mut builder, &WeaponArgs{
      name: Some(weapon_two_name),
      damage: 5,
  });

  // Name of the Monster.
  let name = builder.create_string(""Orc"");

  // Inventory.
  let inventory = builder.create_vector(&[0u8, 1, 2, 3, 4, 5, 6, 7, 8, 9]);

  // Create a FlatBuffer `vector` that contains offsets to the sword and axe
  // we created above.
  let weapons = builder.create_vector(&[sword, axe]);

  // Create the path vector of Vec3 objects:
  //let x = Vec3::new(1.0, 2.0, 3.0);
  //let y = Vec3::new(4.0, 5.0, 6.0);
  //let path = builder.create_vector(&[x, y]);

  // Note that, for convenience, it is also valid to create a vector of
  // references to structs, like this:
  // let path = builder.create_vector(&[&x, &y]);

  // Create the monster using the `Monster::create` helper function. This
  // function accepts a `MonsterArgs` struct, which supplies all of the data
  // needed to build a `Monster`. To supply empty/default fields, just use the
  // Rust built-in `Default::default()` function, as demonstrated below.
  let orc = Monster::create(&mut builder, &MonsterArgs{
      pos: Some(&Vec3::new(1.0f32, 2.0f32, 3.0f32)),
      mana: 150,
      hp: 80,
      name: Some(name),
      inventory: Some(inventory),
      color: Color::Red,
      weapons: Some(weapons),
      equipped_type: Equipment::Weapon,
      equipped: Some(axe.as_union_value()),
      //path: Some(path),
      ..Default::default()
  });

  // Serialize the root of the object, without providing a file identifier.
  builder.finish(orc, None);

  // We now have a FlatBuffer we can store on disk or send over a network.

  // ** file/network code goes here :) **

  // Instead, we're going to access it right away (as if we just received it).
  // This must be called after `finish()`.
  let buf = builder.finished_data(); // Of type `&[u8]`

  // Get access to the root:
  let monster = flatbuffers::root::<Monster>(buf).unwrap();

  // Get and test some scalar types from the FlatBuffer.
  let hp = monster.hp();
  let mana = monster.mana();
  let name = monster.name();

  assert_eq!(hp, 80);
  assert_eq!(mana, 150);  // default
  assert_eq!(name, Some(""Orc""));

  // Get and test a field of the FlatBuffer's `struct`.
  assert!(monster.pos().is_some());
  let pos = monster.pos().unwrap();
  let x = pos.x();
  let y = pos.y();
  let z = pos.z();
  assert_eq!(x, 1.0f32);
  assert_eq!(y, 2.0f32);
  assert_eq!(z, 3.0f32);

  // Get an element from the `inventory` FlatBuffer's `vector`.
  assert!(monster.inventory().is_some());
  let inv = monster.inventory().unwrap();
  let third_item = inv.get(2);
  assert_eq!(third_item, 2);

  // Get and test the `weapons` FlatBuffers's `vector`.
  assert!(monster.weapons().is_some());
  let weps = monster.weapons().unwrap();
  //let weps_len = weps.len();
  let wep2 = weps.get(1);
  let second_weapon_name = wep2.name();
  let second_weapon_damage = wep2.damage();
  assert_eq!(second_weapon_name, Some(""Axe""));
  assert_eq!(second_weapon_damage, 5);

  // Get and test the `Equipment` union (`equipped` field).
  assert_eq!(monster.equipped_type(), Equipment::Weapon);
  let equipped = monster.equipped_as_weapon().unwrap();
  let weapon_name = equipped.name();
  let weapon_damage = equipped.damage();
  assert_eq!(weapon_name, Some(""Axe""));
  assert_eq!(weapon_damage, 5);

  // Get and test the `path` FlatBuffers's `vector`.
  //assert_eq!(monster.path().unwrap().len(), 2);
  //assert_eq!(monster.path().unwrap()[0].x(), 1.0);
  //assert_eq!(monster.path().unwrap()[1].x(), 4.0);

  println!(""The FlatBuffer was successfully created and accessed!"");
  dbg!(monster);
}","[label]
This function is vulnerable.

[detail]
The vulnerability involves potential out-of-bounds memory access. The code reads a vector of Vec3 objects (`path`) and directly accesses elements (`x`, `y`, `z`) without proper bounds checking. If the `path` vector is empty or improperly constructed, this could lead to reading invalid memory, causing undefined behavior or crashes. The issue is exacerbated because this unsafe behavior is not marked as `unsafe`.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The code demonstrates proper usage of the flatbuffers library to serialize and deserialize data without any unsafe operations or out-of-bounds access. All operations are performed within the safe Rust API provided by flatbuffers, and there is no evidence of memory corruption or undefined behavior in the given code. The function follows recommended practices for using flatbuffers-generated code.
"
"fn wipe_file(
    path_str: &str,
    n_passes: usize,
    remove: bool,
    size: Option<u64>,
    exact: bool,
    zero: bool,
    verbose: bool,
) {
    // Get these potential errors out of the way first
    let path: &Path = Path::new(path_str);
    if !path.exists() {
        println!(""{}: {}: No such file or directory"", NAME, path.display());
        return;
    }
    if !path.is_file() {
        println!(""{}: {}: Not a file"", NAME, path.display());
        return;
    }

    // Fill up our pass sequence
    let mut pass_sequence: Vec<PassType> = Vec::new();

    if n_passes <= 3 {
        // Only random passes if n_passes <= 3
        for _ in 0..n_passes {
            pass_sequence.push(PassType::Random)
        }
    }
    // First fill it with Patterns, shuffle it, then evenly distribute Random
    else {
        let n_full_arrays = n_passes / PATTERNS.len(); // How many times can we go through all the patterns?
        let remainder = n_passes % PATTERNS.len(); // How many do we get through on our last time through?

        for _ in 0..n_full_arrays {
            for p in &PATTERNS {
                pass_sequence.push(PassType::Pattern(*p));
            }
        }
        for pattern in PATTERNS.iter().take(remainder) {
            pass_sequence.push(PassType::Pattern(pattern));
        }
        rand::thread_rng().shuffle(&mut pass_sequence[..]); // randomize the order of application

        let n_random = 3 + n_passes / 10; // Minimum 3 random passes; ratio of 10 after
                                          // Evenly space random passes; ensures one at the beginning and end
        for i in 0..n_random {
            pass_sequence[i * (n_passes - 1) / (n_random - 1)] = PassType::Random;
        }
    }

    // --zero specifies whether we want one final pass of 0x00 on our file
    if zero {
        pass_sequence.push(PassType::Pattern(b""\x00""));
    }

    {
        let total_passes: usize = pass_sequence.len();
        let mut file: File = OpenOptions::new()
            .write(true)
            .truncate(false)
            .open(path)
            .expect(""Failed to open file for writing"");

        // NOTE: it does not really matter what we set for total_bytes and gen_type here, so just
        //       use bogus values
        let mut generator = BytesGenerator::new(0, PassType::Pattern(&[]), exact);

        for (i, pass_type) in pass_sequence.iter().enumerate() {
            if verbose {
                let pass_name: String = pass_name(*pass_type);
                if total_passes.to_string().len() == 1 {
                    println!(
                        ""{}: {}: pass {}/{} ({})... "",
                        NAME,
                        path.display(),
                        i + 1,
                        total_passes,
                        pass_name
                    );
                } else {
                    println!(
                        ""{}: {}: pass {:2.0}/{:2.0} ({})... "",
                        NAME,
                        path.display(),
                        i + 1,
                        total_passes,
                        pass_name
                    );
                }
            }
            // size is an optional argument for exactly how many bytes we want to shred
            do_pass(&mut file, path, &mut generator, *pass_type, size)
                .expect(""File write pass failed"");
            // Ignore failed writes; just keep trying
        }
    }

    if remove {
        do_remove(path, path_str, verbose).expect(""Failed to remove file"");
    }
}","[label]
This function is vulnerable.

[detail]
The vulnerability is related to an uninitialized memory access. The function creates a `BytesGenerator` with `exact` set to `false`, which can lead to reading uninitialized memory. This is particularly dangerous when dealing with `mmap`ed files, as it can expose sensitive data or cause undefined behavior. The issue is fixed by properly initializing the `BytesGenerator` with `exact` set to `true`.","[label]
This function is non-vulnerable.

[detail]
This function is non-vulnerable. The function `wipe_file` is designed to securely wipe a file by overwriting it with random or pattern data, and it does not involve any operations that could lead to an out-of-bounds read or access to uninitialized memory. The function handles file operations safely and does not expose any memory-related vulnerabilities.
"
"fn to_sql<'b>(&'b self, out: &mut Output<'b, '_, Mysql>) -> serialize::Result {
        ToSql::<TinyInt, Mysql>::to_sql(&(*self as i8), &mut out.reborrow())
    }","[label]
This function is vulnerable.

[detail]
The vulnerability arises from a potential truncation or overflow during the cast to `i8`. If the original value is larger than what can be represented by an `i8`, the cast will truncate or overflow, leading to incorrect data being sent to the database. This could be exploited to misinterpret binary protocol commands or inject malicious data, especially if the resulting value causes the server to process unintended data or commands.","[label]
This function is vulnerable.

[detail]
The vulnerability arises from a potential truncation or overflow during the cast operation `*self as i8`. If the original value is larger than what can be represented by an `i8`, it will be truncated, which could lead to misinterpretation of the data when serialized to SQL. This could be exploited to smuggle malicious queries or commands through binary protocol misinterpretation, especially if the truncated value affects the length prefix or other critical protocol elements.
"
